health_condition,blood_sugar_range,bp_range,oxygen_level_range,exercise_type,intensity,duration,frequency,precautions,blood_sugar_min,bp_systolic,oxygen_min
diabetes_high,>200,140/90,>95,Walking,Low,30-45 min,5-7 days/week,Monitor blood sugar before and after exercise,200.0,140.0,95.0
diabetes_high,180-200,145/95,>95,Swimming,Low,20-30 min,4-5 days/week,Monitor blood sugar levels frequently,190.0,145.0,95.0
diabetes_high,>180,150/95,>95,Light cardio,Low,15-25 min,3-4 days/week,Check blood sugar frequently,180.0,150.0,95.0
diabetes_controlled,140-180,130/85,>95,Cycling,Moderate,30-45 min,4-5 days/week,Stay hydrated and carry snacks,160.0,130.0,95.0
diabetes_controlled,110-140,125/80,>95,Mixed cardio,Moderate,30-40 min,3-4 days/week,Keep glucose tablets handy,125.0,125.0,95.0
diabetes_controlled,120-160,128/82,>95,Swimming,Moderate,25-35 min,3-4 days/week,Regular blood sugar monitoring,140.0,128.0,95.0
hypertension,70-140,>160/100,>95,Swimming,Low,20-30 min,3-4 days/week,Avoid holding breath during exercise,105.0,160.0,95.0
hypertension,70-140,>150/95,>95,Walking,Low,25-35 min,4-5 days/week,Monitor heart rate closely,105.0,150.0,95.0
hypertension,70-140,>155/98,>95,Stationary bike,Low,20-30 min,3-4 days/week,Regular BP monitoring,105.0,155.0,95.0
low_oxygen,70-140,120/80,<90,Breathing exercises,Very Low,15-20 min,Daily,Stop if feeling dizzy,105.0,120.0,90.0
low_oxygen,70-140,120/80,90-92,Light stretching,Very Low,10-15 min,Daily,Practice pursed lip breathing,105.0,120.0,91.0
low_oxygen,70-140,120/80,92-94,Gentle walking,Very Low,10-15 min,Daily,Monitor oxygen levels constantly,105.0,120.0,93.0
obesity,70-140,125/85,>95,HIIT,Moderate to High,20-30 min,3-4 days/week,Start gradually and maintain proper form,105.0,125.0,95.0
obesity,70-140,130/85,>95,Strength Training,Moderate,40-50 min,3-4 days/week,Focus on compound exercises,105.0,130.0,95.0
obesity,70-140,128/84,>95,Swimming,Moderate,30-40 min,4-5 days/week,Progressive intensity increase,105.0,128.0,95.0
normal,70-110,120/80,>95,Mixed cardio,Moderate,45-60 min,4-5 days/week,Regular warm-up and cool-down,90.0,120.0,95.0
normal,70-110,115/75,>95,Running,Moderate to High,30-45 min,3-4 days/week,Stay hydrated,90.0,115.0,95.0
normal,70-110,118/78,>95,Cycling,Moderate,40-50 min,4-5 days/week,Balanced workout routine,90.0,118.0,95.0
elderly,70-140,135/85,>95,Yoga,Low,30-45 min,3-4 days/week,Focus on balance and flexibility,105.0,135.0,95.0
elderly,70-140,130/80,>95,Walking,Low,20-30 min,4-5 days/week,Use proper support if needed,105.0,130.0,95.0
elderly,70-140,132/82,>95,Chair exercises,Low,25-35 min,3-4 days/week,Avoid rapid movements,105.0,132.0,95.0
cardiovascular,70-140,145/95,>95,Stationary bike,Low to Moderate,20-30 min,3-4 days/week,Monitor heart rate,105.0,145.0,95.0
cardiovascular,70-140,140/90,>95,Light cardio,Low,15-25 min,3-4 days/week,Take frequent breaks if needed,105.0,140.0,95.0
cardiovascular,70-140,142/92,>95,Walking,Low,20-30 min,Daily,Regular heart rate checks,105.0,142.0,95.0
respiratory,70-140,120/80,92-95,Breathing exercises,Low,15-20 min,Daily,Use pursed lip breathing,105.0,120.0,93.5
respiratory,70-140,120/80,93-96,Light aerobics,Low,20-30 min,3-4 days/week,Monitor oxygen levels,105.0,120.0,94.5
respiratory,70-140,120/80,94-97,Walking,Low,15-25 min,3-4 days/week,Stop if breathing difficulty,105.0,120.0,95.5
joint_pain,70-140,120/80,>95,Water aerobics,Low,30-45 min,3-4 days/week,Avoid high-impact movements,105.0,120.0,95.0
joint_pain,70-140,125/85,>95,Gentle stretching,Low,20-30 min,Daily,Focus on range of motion,105.0,125.0,95.0
joint_pain,70-140,122/82,>95,Swimming,Low,25-35 min,3-4 days/week,Listen to body signals,105.0,122.0,95.0
